Order_date,day_1,Month_name,Day,Amount,Amount 2
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,927,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,646,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,871,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,627,
4/1/2022,1,April,Friday,599,
4/1/2022,1,April,Friday,499,
4/1/2022,1,April,Friday,349,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,1174,
4/1/2022,1,April,Friday,1125,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,449,
4/1/2022,1,April,Friday,399,
4/1/2022,1,April,Friday,481,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,597,
4/1/2022,1,April,Friday,599,
4/1/2022,1,April,Friday,589,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,1127,
4/1/2022,1,April,Friday,561,
4/1/2022,1,April,Friday,542,
4/1/2022,1,April,Friday,969,
4/1/2022,1,April,Friday,1324,
4/1/2022,1,April,Friday,1147,
4/1/2022,1,April,Friday,449,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,453,
4/1/2022,1,April,Friday,729,
4/1/2022,1,April,Friday,567,
4/1/2022,1,April,Friday,955,
4/1/2022,1,April,Friday,1099,
4/1/2022,1,April,Friday,825,
4/1/2022,1,April,Friday,906,
4/1/2022,1,April,Friday,542,
4/1/2022,1,April,Friday,730,
4/1/2022,1,April,Friday,657,
4/1/2022,1,April,Friday,360,
4/1/2022,1,April,Friday,453,
4/1/2022,1,April,Friday,365,
4/1/2022,1,April,Friday,646,
4/1/2022,1,April,Friday,627,
4/1/2022,1,April,Friday,495,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,698,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,460,
4/1/2022,1,April,Friday,729,
4/1/2022,1,April,Friday,650,
4/1/2022,1,April,Friday,627,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,744,
4/1/2022,1,April,Friday,869,
4/1/2022,1,April,Friday,877,
4/1/2022,1,April,Friday,453,
4/1/2022,1,April,Friday,747,
4/1/2022,1,April,Friday,379,
4/1/2022,1,April,Friday,379,
4/1/2022,1,April,Friday,845,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,354,
4/1/2022,1,April,Friday,674,
4/1/2022,1,April,Friday,761,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,761,
4/1/2022,1,April,Friday,495,
4/1/2022,1,April,Friday,321,
4/1/2022,1,April,Friday,481,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,764,
4/1/2022,1,April,Friday,688,
4/1/2022,1,April,Friday,761,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,1245,
4/1/2022,1,April,Friday,379,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,999,
4/1/2022,1,April,Friday,1138,
4/1/2022,1,April,Friday,549,
4/1/2022,1,April,Friday,499,
4/1/2022,1,April,Friday,527,
4/1/2022,1,April,Friday,469,
4/1/2022,1,April,Friday,452,
4/1/2022,1,April,Friday,324,
4/1/2022,1,April,Friday,729,
4/1/2022,1,April,Friday,412,
4/1/2022,1,April,Friday,499,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,729,
4/1/2022,1,April,Friday,958,
4/1/2022,1,April,Friday,1079,
4/1/2022,1,April,Friday,452,
4/1/2022,1,April,Friday,599,
4/1/2022,1,April,Friday,432,
4/1/2022,1,April,Friday,698,
4/1/2022,1,April,Friday,845,
4/1/2022,1,April,Friday,698,
4/1/2022,1,April,Friday,417,
4/1/2022,1,April,Friday,379,
4/1/2022,1,April,Friday,549,
4/1/2022,1,April,Friday,899,
4/1/2022,1,April,Friday,499,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,589,
4/1/2022,1,April,Friday,399,
4/1/2022,1,April,Friday,627,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,1138,
4/1/2022,1,April,Friday,365,
4/1/2022,1,April,Friday,1078,
4/1/2022,1,April,Friday,330,
4/1/2022,1,April,Friday,715,
4/1/2022,1,April,Friday,1138,
4/1/2022,1,April,Friday,495,
4/1/2022,1,April,Friday,495,
4/1/2022,1,April,Friday,495,
4/1/2022,1,April,Friday,379,
4/1/2022,1,April,Friday,299,
4/1/2022,1,April,Friday,698,
4/1/2022,1,April,Friday,799,
4/1/2022,1,April,Friday,727,
4/1/2022,1,April,Friday,317,
4/1/2022,1,April,Friday,696,
4/1/2022,1,April,Friday,561,
4/1/2022,1,April,Friday,795,
4/1/2022,1,April,Friday,453,
4/1/2022,1,April,Friday,449,
4/1/2022,1,April,Friday,432,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,342,
4/1/2022,1,April,Friday,449,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,424,
4/1/2022,1,April,Friday,379,
4/1/2022,1,April,Friday,715,
4/1/2022,1,April,Friday,865,
4/1/2022,1,April,Friday,672,
4/1/2022,1,April,Friday,481,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,1199,
4/1/2022,1,April,Friday,499,
4/1/2022,1,April,Friday,449,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,729,
4/1/2022,1,April,Friday,715,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,1079,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,1196,
4/1/2022,1,April,Friday,672,
4/1/2022,1,April,Friday,449,
4/1/2022,1,April,Friday,449,
4/1/2022,1,April,Friday,1154,
4/1/2022,1,April,Friday,358,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,699,
4/1/2022,1,April,Friday,627,
4/1/2022,1,April,Friday,299,
4/1/2022,1,April,Friday,349,
4/1/2022,1,April,Friday,747,
4/1/2022,1,April,Friday,563,
4/1/2022,1,April,Friday,749,
4/1/2022,1,April,Friday,499,
4/1/2022,1,April,Friday,324,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,698,
4/1/2022,1,April,Friday,698,
4/1/2022,1,April,Friday,865,
4/1/2022,1,April,Friday,449,
4/1/2022,1,April,Friday,869,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,371,
4/1/2022,1,April,Friday,448,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,774,
4/1/2022,1,April,Friday,1033,
4/1/2022,1,April,Friday,698,
4/1/2022,1,April,Friday,775,
4/1/2022,1,April,Friday,715,
4/1/2022,1,April,Friday,715,
4/1/2022,1,April,Friday,427,
4/1/2022,1,April,Friday,518,
4/1/2022,1,April,Friday,1245,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,499,
4/1/2022,1,April,Friday,599,
4/1/2022,1,April,Friday,426,
4/1/2022,1,April,Friday,299,
4/1/2022,1,April,Friday,648,
4/1/2022,1,April,Friday,898,
4/1/2022,1,April,Friday,379,
4/1/2022,1,April,Friday,499,
4/1/2022,1,April,Friday,379,
4/1/2022,1,April,Friday,841,
4/1/2022,1,April,Friday,432,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,1396,
4/1/2022,1,April,Friday,1199,
4/1/2022,1,April,Friday,499,
4/1/2022,1,April,Friday,315,
4/1/2022,1,April,Friday,646,
4/1/2022,1,April,Friday,499,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,657,
4/1/2022,1,April,Friday,1099,
4/1/2022,1,April,Friday,955,
4/1/2022,1,April,Friday,930,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,449,
4/1/2022,1,April,Friday,399,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,499,
4/1/2022,1,April,Friday,299,
4/1/2022,1,April,Friday,1196,
4/1/2022,1,April,Friday,449,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,353,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,399,
4/1/2022,1,April,Friday,528,
4/1/2022,1,April,Friday,1201,
4/1/2022,1,April,Friday,698,
4/1/2022,1,April,Friday,399,
4/1/2022,1,April,Friday,499,
4/1/2022,1,April,Friday,647,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,469,
4/1/2022,1,April,Friday,469,
4/1/2022,1,April,Friday,730,
4/1/2022,1,April,Friday,353,
4/1/2022,1,April,Friday,481,
4/1/2022,1,April,Friday,480,
4/1/2022,1,April,Friday,379,
4/1/2022,1,April,Friday,399,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,698,
4/1/2022,1,April,Friday,1299,
4/1/2022,1,April,Friday,449,
4/1/2022,1,April,Friday,452,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,499,
4/1/2022,1,April,Friday,761,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,293,
4/1/2022,1,April,Friday,627,
4/1/2022,1,April,Friday,698,
4/1/2022,1,April,Friday,799,
4/1/2022,1,April,Friday,449,
4/1/2022,1,April,Friday,364,
4/1/2022,1,April,Friday,714,
4/1/2022,1,April,Friday,499,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,481,
4/1/2022,1,April,Friday,481,
4/1/2022,1,April,Friday,499,
4/1/2022,1,April,Friday,484,
4/1/2022,1,April,Friday,347,
4/1/2022,1,April,Friday,317,
4/1/2022,1,April,Friday,330,
4/1/2022,1,April,Friday,322,
4/1/2022,1,April,Friday,328,
4/1/2022,1,April,Friday,322,
4/1/2022,1,April,Friday,698,
4/1/2022,1,April,Friday,469,
4/1/2022,1,April,Friday,899,
4/1/2022,1,April,Friday,791,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,1147,
4/1/2022,1,April,Friday,1112,
4/1/2022,1,April,Friday,955,
4/1/2022,1,April,Friday,729,
4/1/2022,1,April,Friday,495,
4/1/2022,1,April,Friday,689,
4/1/2022,1,April,Friday,426,
4/1/2022,1,April,Friday,1324,
4/1/2022,1,April,Friday,0,
4/1/2022,1,April,Friday,657,
4/1/2022,1,April,Friday,1129,
4/1/2022,1,April,Friday,627,
4/1/2022,1,April,Friday,469,
4/1/2022,1,April,Friday,998,
4/1/2022,1,April,Friday,426,
4/1/2022,1,April,Friday,330,
4/1/2022,1,April,Friday,530,
4/1/2022,1,April,Friday,599,
4/1/2022,1,April,Friday,984,
4/1/2022,1,April,Friday,394,
4/1/2022,1,April,Friday,791,
4/1/2022,1,April,Friday,424,
4/1/2022,1,April,Friday,527,
4/1/2022,1,April,Friday,841,
